id, value
Talend_Studio_8.Business_Intelligence.Informix.tInformixSCD,164
Talend_Studio_8.Business_Intelligence.tJasperOutput,165
Talend_Studio_8.Business_Intelligence.tJasperOutputExec,166
Talend_Studio_8.Business_Intelligence.JDBC,
Talend_Studio_8.Business_Intelligence.JDBC.tJDBCSCDELT,167
Talend_Studio_8.Business_Intelligence.tLineChart,168
Talend_Studio_8.Business_Intelligence.MSSql,
Talend_Studio_8.Business_Intelligence.MSSql.tMSSqlSCD,169
Talend_Studio_8.Business_Intelligence.Mysql,
Talend_Studio_8.Business_Intelligence.Mysql.tMysqlSCD,170
Talend_Studio_8.Business_Intelligence.Mysql.tMysqlSCDELT,171
Talend_Studio_8.Business_Intelligence.Netezza,
Talend_Studio_8.Business_Intelligence.Netezza.tNetezzaSCD,172
Talend_Studio_8.Business_Intelligence.Oracle,
Talend_Studio_8.Business_Intelligence.Oracle.tOracleSCD,173
Talend_Studio_8.Business_Intelligence.Oracle.tOracleSCDELT,174
Talend_Studio_8.Business_Intelligence.Postgres,
Talend_Studio_8.Business_Intelligence.Postgres.tPostgresPlusSCD,175
Talend_Studio_8.Business_Intelligence.Postgres.tPostgresPlusSCDELT,176
Talend_Studio_8.Business_Intelligence.Postgres.tPostgresqlSCD,177
Talend_Studio_8.Business_Intelligence.Postgres.tPostgresqlSCDELT,178
Talend_Studio_8.Business_Intelligence.Sybase,
Talend_Studio_8.Business_Intelligence.Sybase.tSybaseSCD,179
Talend_Studio_8.Business_Intelligence.Sybase.tSybaseSCDELT,180
Talend_Studio_8.Business_Intelligence.Teradata,
Talend_Studio_8.Business_Intelligence.Teradata.tTeradataSCD,181
Talend_Studio_8.Business_Intelligence.Teradata.tTeradataSCDELT,182
Talend_Studio_8.Business_Intelligence.Vertica,
Talend_Studio_8.Business_Intelligence.Vertica.tVerticaSCD,183
Talend_Studio_8.Cloud,
Talend_Studio_8.Cloud.Amazon,
Talend_Studio_8.Cloud.Amazon.Aurora,
Talend_Studio_8.Cloud.Amazon.Aurora.tAmazonAuroraClose,185
